iteration,placebo_ate,placebo_std_error,placebo_p_value,true_ate,outcome_column,treatment_column
75,-0.004999274242030782,0.015299005506391955,0.7438409509575747,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
76,0.03607798219541874,0.02393869593959574,0.1317853100323841,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
77,-0.0024197780501677753,0.01513237317014202,0.8729540399643605,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
78,0.016622266274389935,0.01710632484445893,0.3311983499580302,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
79,-0.011400947755969892,0.019612535013198016,0.5610320565466642,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
80,-0.003933214690161543,0.01469908779305486,0.7890209107517162,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
81,0.002401191687855731,0.01504160411141527,0.8731672858831249,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
82,0.030206434362361055,0.024492752398019194,0.21747112387156853,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
83,-0.002392182201000886,0.018617199692466873,0.8977587371458768,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
84,0.003005514837673801,0.01552602526435864,0.8465054220217778,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
85,0.00237129772062712,0.01825820468978068,0.8966647437697103,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
86,0.028811071340331465,0.017096416303893122,0.09194784105198896,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
87,0.014580402616954214,0.017832880182403848,0.4135779473457204,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
88,-0.016582061498562114,0.01808745939720041,0.359262557598238,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
89,0.005136159507099267,0.018330329210575896,0.7793240138386729,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
90,-0.005586924424804728,0.024285812404950678,0.8180537719799597,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
91,0.017860993015688713,0.02158450942932249,0.40795867092275495,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
92,-0.008168755749635765,0.01519287357173518,0.5908047388887512,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
93,-0.0350720218536443,0.02033795853704702,0.08462460454132002,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
94,0.015215268986685623,0.017956403520804888,0.39680284348764017,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
95,0.015712031151049067,0.013871062231762628,0.25733180942255107,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
